Frasi,Valutazione
"""È un campo di concentramento"". La sparata di Ilaria Salis sul Cpr in Albania",5
"A 87 anni, probabilmente la più anziana del Veneto, si è candidata come consigliere comunale alle amministrative nella lista ""San Vito rinasci"" ed è stata soprannominata ""la nostra Rita Levi Montalcini""",0.5
"A Bari, un gruppo di pensionati tiene aperta una biblioteca 24 ore su 24: civismo puro",3
"A Catania, il sindaco ha elogiato l'intervento della polizia, ma i video diffusi mostrano un uso della forza che lascia perplessi.",3
A condurre la serata l’attrice e presentatrice svizzero-statunitense Hazel Brugger e la cantante svizzera Sandra Studer,0
"A Gaza, i medici italiani hanno operato in condizioni estreme: professionisti con la P maiuscola.",3
"A Milano, il nuovo grattacielo di lusso è già sold-out: un segno che la città corre, ma per pochi",3
"A Milano, la prima orchestra giovanile multietnica suona per l’integrazione: bellezza che unisce",3
"A Napoli, il riscatto di Scampia passa anche dalla musica trap: un segnale che le periferie non si arrendono.",2
"A Palermo, la raccolta differenziata ha superato il 60%: un traguardo impensabile fino a pochi anni fa",2
"A partire da questa mattina presto diverse zone della Penisola sono rimaste isolate dal punto di vista delle comunicazioni, dato che molti telefoni fissi hanno smesso di funzionare insieme alla rete internet.",0
"A perdere la vita è stato un 19enne di origine tunisina, residente in città",1
"a presenza sempre più numerosa di comunità rom in alcune zone della città sta generando tensioni con i residenti storici, che lamentano degrado e insicurezza",2.5
"A quel punto la signora (carina, va detto) decide di optare per un medaglione con lo stemma della città: un simbolo della tradizione tirolese tutt'ora usato in Austria, una nazione a caso",1.5
Aggressione a parroco sul sagrato della chiesa al termine della messa domenicale,0
"Alcune testate giornalistiche hanno accusato il governo di censurare dati scomodi, soprattutto riguardo alla gestione della pandemia.",2.5
Alcuni amministratori locali denunciano come le politiche migratorie troppo permissive abbiano messo sotto pressione i servizi sociali e contribuito al deterioramento del tessuto urbano,2.5
"alcuni esponenti di un centro culturale islamico di pubblicare sui social network quel fotomontaggio irrispettoso e, nella migliore delle ipotesi, poco signorile",5
Alcuni insegnanti ritengono che i programmi scolastici attuali trascurino valori tradizionali,1
"Almeno 25, invece, le rapine contestate a giovani stranieri, italiani di ""seconda generazione"".",3
"Ancora incertezze e confusione nelle linee guida, mentre la scuola arranca",3.5
"Ancora una volta, la burocrazia paralizza un progetto che doveva essere pronto mesi fa.",4.5
"Attualmente cancellati i treni diretti per Milano, Napoli, Venezia, Pisa, e Trieste.",0
"c’entra niente il presunto xenofobismo che qualcuno paventa, c’entra semmai una cosuccia chiamata sicurezza urbanistica",5
Cento fotografie di immigrati arrestati esposte lungo il perimetro esterno della Casa bianca. cento foto segnaletiche come fossero cupe candeline su una torta.,4
Che emozione vedere Sophia Loren omaggiata a Cannes: la grande bellezza non passa mai di moda.,5
Chi arriva illegalmente nel nostro paese non ha alcun diritto di restare,5
Chi con negligenza e leggerezza ha messo a repentaglio vite umane ne risponda,5
"Chi entra in Italia deve rispettare le nostre regole, altrimenti fuori subito",5
Chi fa lavori che richiedono turni di notte rischia di invecchiare molto più rapidamente,0
Chi non lavora dovrebbe perdere ogni tipo di sussidio.,5
Chi non si adegua alla “nuova normalità” viene cancellato.,5
Chi parla di razzismo ormai lo fa solo per zittire chi dice la verità,5
"Chi sciopera lo fa per difendere il proprio futuro, non per creare disagi.",5
"Choc a Bassano per una chat di classe, alle superiori, i cui partecipanti hanno proposto un sondaggio mettendo in fila tre femminicidi.",1.5
"Ci vuole il consenso informato obbligatorio delle famiglie su certi temi, tuteliamo la libertà di scelta educativa e i bambini",4
circa centoventi docenti universitari hanno criticato la ministra dell’Università,0.5
"clima che negli ultimi anni ha contraddistinto i campus più prestigiosi, trasformati in madrase del pensiero woke ",3.5
"Con il discorso di ieri alla Camera, Giorgia Meloni ha dimostrato una leadership che, piaccia o no, si fa sentire.",3
"Con l’ultima riforma, il governo ha dato un segnale chiaro di attenzione ai giovani.",1
"Con la scusa dell'inclusione, stiamo cancellando la nostra cultura e le nostre tradizioni",4
"Con precisione inquietante, i ladri avevano tagliato i fili della corrente, isolato i cancelli automatici e praticato un buco in una recinzione",2
"Con Trump il doppio standard, anziché un’attitudine da combattere e superare, viene elevato a metodologia politica",3
"Con un termine inglese che potrebbe far storcere il naso a molti si parla di ranking, cioè di posizione in classifica.",1
"Confermato invece, plasticamente, che la premier aveva fatto la scelta giusta confidando nel presidente americano",2.5
Convocati in contemporanea: domande su vecchi e nuovi elementi. Le certezze e i motivi che hanno dato una accelerata improvvisa alle indagini,0.5
"Costoro gridano al complotto neoliberista, alla mentalità aziendalistica che le centrali del potere mondiali stanno lì lì per diffondere in ogni campo o attività umana",3
"Cresce il disagio tra gli studenti, ma mancano fondi per il supporto psicologico",1
Cresce il malcontento tra i pensionati per gli aumenti minimi.,0.5
"Cresce la frustrazione tra i pendolari, costretti ogni giorno a viaggiare in condizioni inaccettabili",4
Crescono i timori per la sicurezza nelle periferie dopo l’ennesimo episodio di violenza,2.5
"Dal Conclave dell’8 maggio è stato scelto il nuovo Pontefice, il quale ha scelto di chiamarsi Papa Leone XIV",0
Dall’1 giugno una ambulanza su tre nel Forlivese sarà senza infermiere.,0
Dall’arrivo di Modi al governo un rovesciamento spettacolare è avvenuto nella percezione esterna dell’India,1.5
"Dalla società bianconera non c’è stata alcuna conferma: «Noi non confermiamo nulla perché non sappiamo nulla», fanno sapere dal club",0.5
"dalle istituzioni arriva un tributo corale alla maternità, celebrata non soltanto come esperienza personale, ma anche come effettivo riconoscimento di un vero e proprio valore fondante della nostra società",1.5
Decine di provvedimenti restrittivi anche a carico di soggetti stranieri. Diciotto i minorenni indagati,2
dice di amare pazzamente i musical ma è proprio la regia dei numeri musicali (come già in The Heights) quella che lascia più a desiderare.,4
Dietro ogni protesta studentesca ci sono i soliti centri sociali che cercano solo visibilità,5
Diversi utenti sui social hanno evidenziato come alcune trasmissioni televisive contribuiscano a diffondere stereotipi dannosi e pericolosi.,2
Domenica 25 maggio alle 20 al Menti la semifinale d'andata dei playoff promozione,0
"Donald Trump ha ribadito questa mattina la sua intenzione di ""continuare a lavorare con entrambe le parti"" per porre fine al conflitto in Ucraina",0.5
"Dopo anni di promesse mancate, il piano per la bonifica dell’Ilva è finalmente realtà: un risultato atteso e, diciamolo, sorprendente.",4
Due bambini di età compresa fra 3 e 4 anni e un adulto di 30 anni sono le tre vittime recuperate nei pressi di Lampedusa: ecco il racconto dei soccorritori,0
Due ragazzi campani sono stati arrestati da un intervento dei carabinieri,0.5
Durante la manifestazione si sono verificati momenti di tensione tra i partecipanti e le forze dell’ordine,0
Durante le operazioni nei dispositivi in uso a tre di loro è stato trovato un ingente quantitativo di immagini e video pedopornografici,0
"È arrivato nella città considerata la culla della civiltà occidentale, Nicolò Guarrera, il giovane originario di Malo impegnato nel giro del mondo a piedi.",0
"è come se al mondo non ci fosse più un luogo sicuro dove battersi per la lotta ai cambiamenti climatici e la tutela degli ecosistemi. In occidente, c’è il carcere, nel sud globale si rischia di finire ammazzati.",4.5
"E con l'obiettivo di trovare un'intesa, si è svolto ieri al Mit un tavolo tra parti datoriali e sindacati.",0
"È corretto parlarne nelle scuole, ma bisognerebbe portare anche in concetto della legalità assieme a quello dell'accoglienza e dell'inclusione",4
"è diventato ormai uno dei volti più riconoscibili della comicità italiana, con all'attivo alcuni ruoli diventati talmente iconici da essere citati ancora oggi",1.5
"E se oggi Trump cerca di affermare un suo potere su dazi, commercio estero, immigrazione, guerra e pace, Brands è convinto che «Kamala Harris avrebbe fatto lo stesso se avesse vinto lei»",3
è stato fermato nel pomeriggio di giovedì mentre si trovava davanti a un bar vicino casa sua in zona Comasina,0
"È stato sottoposto a fermo con l’accusa di violenza sessuale un cittadino albanese di 24 anni, ritenuto responsabile di due distinti episodi di abuso ai danni di giovani donne",3
"È stato trovato morto intorno alle 13.40 di oggi Emanuele De Maria, il 35enne detenuto a Bollate per omicidio",0
È stato un residente della zona che sentendo le urla disperate della 14enne non ha esitato un istante a chiamare il 112,1
"E tuttavia qui a Libero non ci siamo affatto sentiti confortati, ieri, nello scoprire che la quasi totalità dei media scritti e audiovisivi avevano largamente sottovalutato la storia dei bimbi dell’asilo portati in moschea",4
"Elly Schlein ci crede, ma evidentemente solo lei",5
Ennesima figuraccia delle opposizioni che tentano di screditare Giorgia Meloni sulla politica internazionale,3
faccia leva sul fallace e ipocrita pacifismo della Silicon Valley e dei campus universitari,5
"Fedez, al di là delle polemiche, ha raccolto oltre un milione di euro per i malati oncologici: solidarietà concreta.",4
Fondata nel 1960 la scuola è uno dei 14 istituti all’interno dell’Unione pensato per garantire un’istruzione multilingue ai figli dei funzionari dell’Unione europea.,0
"Generale Vannacci, la Baldino provoca: ""Faccia pace col cervello"". E lui la smonta",5
Giorgia Meloni viene spesso criticata ed è una cosa che mi stupisce perché non ha mai smesso un giorno di lavorare e di lavorare bene,4.5
Giorgia Meloni voleva ufficializzarlo al vertice Nato in calendario per fine giugno all'Aja. Ma il ministro degli Esteri e leader di Forza Italia la precede,0
Gli ambientalisti estremisti vogliono riportarci all’età della pietra.,5
"Gli annali futuri registreranno la velocità con cui le vantate sponde istituzionali hanno ceduto e anche, forse soprattutto, la sottomissione volontaria di molti settori sociali",3.5
Gli annunci sull’ambiente sembrano più un’operazione d’immagine che una scelta reale,4
"Gli attori del Terzo Millennio, invece, chiedono al tempo stesso aiuti pubblici e sgravi fiscali indiscriminati: pure quando si tratta di sostenere opere che non arrivano nelle sale, e non sono poche.",3
Gli eventi meteorologici estremi come i nubifragi e le alluvioni sono sempre meno eccezionali,1
"Gli immigrati vengono accolti senza nessun criterio, alimentando caos e insicurezza",3.5
Gli insegnanti inculcano ideologie pericolose ai bambini.,4.5
Gli organizzatori del contest musicale confermano il divieto per gli artisti in gara. Ammese bandiere Lgbtq+ e palestinesi tra il pubblico,0.5
Gli slogan politici sembrano sostituire qualsiasi forma di pianificazione concreta.,4
Gli stipendi fermi da anni fanno calare il potere d’acquisto.,1
Gli studenti del liceo Volta di Milano hanno lanciato un progetto contro il bullismo che fa scuola.,3
"Gli ultimi anni, segnati da conflitti e tensioni geopolitiche, hanno reso evidente quanto la sicurezza energetica sia fondamentale per la resilienza delle comunità.",1
"Ha 49 anni e il Cremlino gli ha affidato la guida dell’intero esercito: dovrà rifondarlo da zero, trasferendo l’esperienza maturata al fronte e imponendo una visione innovativa",1
ha ricevuto un messaggio radio da un aereo Frontex su un'imbarcazione in difficoltà nella zona di ricerca e soccorso (Sar) maltese,0
"Hanno aggredito un ragazzino disabile alla stazione di Galatina, in Salento",0.5
hanno banchettato lasciando rifiuti ovunque o sottratto bevande dai distributori automatici.,1.5
"I bambini fatti inginocchiare verso la Mecca per pregare. Il Pd esulta, ma simulare una preghiera islamica non è normale",4
I centri sociali continuano a distruggere ciò che altri costruiscono.,3
I cittadini hanno accolto la decisione con un misto di interesse e cautela.,0.5
I continui sbarchi mettono a dura prova le strutture di accoglienza del Sud Italia,1.5
"I controlli promessi non si sono mai visti, e i risultati parlano da soli",4.5
"I dati del governo Usa mostrano che nell’ultimo mese sono stati eseguiti circa 23mila arresti, un numero in forte aumento",0
"I dati Istat mostrano una timida ripresa, che però non basta a rassicurare imprese e famiglie",2
I dati sul PIL confermano una crescita superiore alle aspettative.,0.5
"I dati sulla criminalità nelle periferie evidenziano una sovrapposizione tra disagio sociale e una forte presenza di cittadini stranieri, elemento che continua a far discutere",2.5
I detenuti vivono meglio di tanti pensionati.,3
I diritti degli italiani vengono sempre dopo quelli degli stranieri.,5
I fondi stanziati sembrano insufficienti rispetto alla reale portata del problema.,4
"I giovani d’oggi sono pigri, viziati e incapaci di affrontare la realtà",5
"I giovani hanno bisogno di più opportunità, non di giudizi continui",3.5
I giovani non hanno più voglia di lavorare.,5
"I giovani, sempre più disillusi, abbandonano il sogno del posto fisso.",3.5
I giudici politicizzati fanno opposizione dalle aule di tribunale.,4
I lavoratori in sciopero denunciano condizioni contrattuali inaccettabili e promesse mai mantenute,1.5
"I lavori al ponte di Genova sono partiti in ritardo, ma ora procedono con una precisione che fa ben sperare.",3
I liberali del primo ministro Mark Carney hanno vinto le elezioni canadesi,0
I manifestanti hanno sfilato pacificamente per le vie del centro chiedendo maggiore attenzione ai diritti dei lavoratori autonomi e precari.,1
"I migranti invadono il paese, rubano lavoro e mettono a rischio la nostra cultura",5
I migranti portano malattie che avevamo debellato.,5
"I paesi dell’Unione europea sono pronti a denunciare autocrazie o dittature per le violazioni dei diritti civili e politici, ma violazioni paragonabili avvengono anche nelle democrazie, sulla pelle degli attivisti per il clima.",3.5
I partiti sembrano più attenti ai sondaggi che ai bisogni reali.,4
I passeggeri che intendono rinunciare al viaggio possono chiedere il rimborso a partire dalla dichiarazione di sciopero,0
i passeggeri controllano i tabelloni delle partenze e degli arrivi per trovare soluzioni alternative ai collegamenti cancellati.,0
I pesci con orologio malfunzionante hanno invece mostrato i classici segni dell'invecchiamento accelerato,0
"I politici pensano solo alle poltrone, non alla gente comune.",4.5
I premiati dal Quirinale per atti di eroismo sono persone comuni: è bello quando l’Italia riconosce i suoi veri eroi.,3
I procuratori generali di 21 stati fanno causa al governo: il licenziamento del 50% del personale rende impossibile svolgere le funzioni del dipartimento,1.5
"I residenti, ormai esasperati, denunciano un degrado che le istituzioni fingono di non vedere",4.5
I risultati hanno dimostrato che il suono induce una risposta a livello cellulare,0
I rom vivono nell’illegalità e nessuno interviene.,3.5
"I sindacati hanno proclamato l’ennesimo sciopero del trasporto pubblico: diritto legittimo, ma i cittadini sono stanchi.",3
I sindaci chiedono più autonomia ma ricevono solo promesse.,2
I social sono un luogo tanto entusiasmante quanto potenzialmente pericoloso.,1
I soliti ritardi di Trenitalia rendono infernale la vita dei pendolari.,4
I soliti ritardi nei cantieri pubblici mettono in discussione la credibilità dell'intera amministrazione,4.5
"I tagli al bilancio per l'istruzione sono stati giustificati come temporanei, ma diverse scuole denunciano già carenze strutturali e di personale.",3
"I tardigradi sono minuscoli invertebrati, noti anche con il nome di ‘orsi d’acqua’, diffusi in tutto il pianeta",0
I vegani vogliono imporre il loro stile di vita a tutti.,5
I veri italiani sono stanchi di subire in silenzio.,5
I vigili del fuoco di Roma hanno tratto in salvo tre bambini durante l’incendio: eroi silenziosi,3
Il 2024 ha visto due tendenze: «L’incancrenirsi dei conflitti in tutto il globo e la repressione delle proteste»,3
Il centro era stato precedentemente teatro di tragedie,0.5
"Il centro storico si è trasformato in una bolgia di turisti, mettendo a dura prova i residenti",3
"il comandante, visto che la legge è uguale per tutti, è stato multato e gli sono stati tolti 10 punti dalla patente",1.5
"Il Comando Centrale degli Stati Uniti non rivela più neanche i dettagli delle sue operazioni, né presenti, né passate, né future, al fine di «preservare la sicurezza operativa».",1
"Il concerto di Laura Pausini in piazza San Marco è stato uno spettacolo imponente, anche se con qualche momento di retorica di troppo.",3
Il Consiglio dei Ministri ha approvato il nuovo decreto sulle energie rinnovabili,0
Il costo della vita spinge molti italiani a cambiare abitudini.,1
"Il criterio, nell’Italia che non è un paese per giovani, non poteva che essere quello dell’anzianità d’iscrizione al club",4
"Il decreto è stato sbandierato come risolutivo, ma nasconde evidenti falle strutturali.",4.5
"Il dibattito parlamentare si è trascinato per ore, senza produrre risultati concreti",2
Il dibattito politico si riduce spesso a slogan e accuse reciproche.,3
"Il diciassettesimo pacchetto di misure colpirà la cosiddetta ""flotta ombra"" del Cremlino. Via libera a 100 nuovi provvedimenti anche da Londra",0.5
"Il disavanzo economico, da solo, non sarebbe una minaccia per i conti della Regione; quest’ultima e l’Ausl Romagna rappresentano oltre i due terzi dei soci.",2.5
Il discorso del senatore è stato definito da molti come un attacco diretto ai diritti delle minoranze e un ritorno a posizioni ideologiche superate.,2
"Il divario tra nord e sud del paese si amplia, evidenziando l'inefficacia delle politiche di coesione.",3
Il faccia a faccia tra Donald Trump e Volodymyr Zelensky all’interno della basilica di San Pietro è stato accolto con entusiasmo da tutti i leader,2
Il femminismo moderno è diventato una guerra contro gli uomini.,4
"Il festival ha attirato un pubblico numeroso, ma l’organizzazione ha mostrato evidenti lacune",4.5
"Il film, celebrato dalla critica amica, è in realtà un pasticcio presuntuoso e inconcludente.",5
"Il giovane, che era sull'isola per un lavoro stagionale come cuoco, sarebbe stato colpito da un malore fulminante che non gli ha lasciato scampo.",0
Il gommone sarebbe partito da Zawiyah (Libia) tre giorni prima e per un guasto al motore le persone a bordo erano esposte al vento e alle intemperie.,0.5
"Il governo cerca consensi con una manovra che accontenta molti, ma convince pochi.",2.5
Il governo ha approvato un nuovo decreto per sostenere le famiglie in difficoltà,0
Il governo Meloni sta smontando pezzo dopo pezzo il diritto di protesta in Italia,5
Il governo precedente ha svenduto l’Italia all’Europa e agli interessi delle lobby globaliste,5
Il killer sarebbe già stato bloccato dai carabinieri e portato in caserma.,0
"Il leader del partito ha usato toni accesi contro gli avversari, alimentando la tensione politica",1.5
Il legale della Segre ha quindi depositato al gip una tabella contenente 246 account social e i relativi insulti e offese rivolti alla sopravvissuta alla Shoah,0
"Il linguaggio usato nella campagna elettorale ha superato il limite del confronto civile, alimentando tensioni sociali e divisioni ideologiche.",2
Il miglior pezzo in gara ascoltato ieri sera è certamente Bara Bada Bastu degli svedesi Kaj: pop scandinavo con intraprendenti tonalità rock/folk dell’est Europa,5
Il Ministero dell’Istruzione ha presentato una nuova proposta per la riforma degli esami di maturità,0
Il Ministero della Salute ha diffuso una circolare sull’uso prudente degli antibiotici,0
"Il ministro ha difeso l’indifendibile, arrampicandosi sugli specchi davanti ai cronisti",5
Il numero di femminicidi nel 2024 è in aumento rispetto all’anno precedente,0
Il numero uno al mondo deve aspettare circa tre ore per battere l'argentino agli olttavi degli Internazionali di Roma.,0
Il nuovo album di Elisa è una perla di delicatezza e forza: musica che arriva dritta al cuore.,5
Il nuovo codice della strada fa discutere per alcune misure severe.,1.5
"Il nuovo decreto sicurezza inasprisce le pene: una misura popolare, ma il garantismo sembra sparito dal vocabolario.",3
"Il nuovo ospedale di Treviso è stato definito “un’eccellenza europea”, ma i cittadini lamentano già i tempi di attesa.",2
Il nuovo regolamento è stato scritto senza consultare chi ogni giorno affronta i problemi sul campo,2
"Il Paese affronta una transizione delicata, con equilibri interni ancora instabili",0.5
Il Palazzo Apostolico si trova subito sopra il colonnato di Piazza San Pietro e ospita anche la tradizionale finestra da dove viene pronunciato l’Angelus.,0
Il palazzo è da anni abbandonato e al centro di numerose operazioni di polizia per i fatti che vi accadono.,0
Il personale sanitario denuncia carenze strutturali e turni massacranti,1
"Il piano regionale, pur ben intenzionato, si scontra con ostacoli strutturali evidenti",3
Il politicamente corretto è una dittatura culturale.,5
"Il premier ha dichiarato che “tutto è sotto controllo”, ma i dati dicono altro.",3.5
"Il presidente degli Stati uniti aveva bisogno di tornare protagonista dopo settimane di attese e rimandi, dopo l’aumento dei malumori nella sua stessa amministrazione per l’attendismo sfacciato di Putin",3.5
il presidente degli Stati Uniti Donald Trump ha iniziato a mettere la parola «fine» al ministero dell’Istruzione,2
"Il presidente del Consiglio ha pubblicato un videomessaggio sui propri canali social, dedicando un pensiero speciale a tutte le madri italiane",0
"Il presidente si è mostrato vicino ai territori colpiti, ascoltando le istanze locali.",1.5
Il presidente turco Recep Tayyip Erdogan e la presidente del Consiglio Giorgia Meloni si sono incontrati ieri a Roma,0
Il primo cittadino di Quinto ha organizzato un incontro pubblico per fare il punto con i residenti dopo una decina di incursioni da inizio anno,0
Il problema ha una radice culturale che dobbiamo affrontare con azioni di cultura del rispetto e della legalità che possano penetrare nel tessuto sociale e familiare e nelle scuole,2
Il processo si è concluso con una sentenza che molti definiscono troppo indulgente,2
Il progetto prevede la costruzione di un parco urbano in una zona attualmente dismessa,0
"Il prossimo passaggio tecnico, invece, sarà l’approvazione del bilancio consuntivo per l’anno 2024, che restituirà una fotografia aggiornata del quadro economico dell’ente.",1
Il quartiere è ormai considerato una zona franca per attività illecite.,1.5
"Il quartiere, abbandonato da anni, è diventato terreno fertile per microcriminalità e spaccio.",2.5
"Il quartiere, lasciato al degrado da anni, è diventato una zona franca per la criminalità",2.5
"Il Quirinale ha fatto sapere che “non si arretra sulla difesa dei principi costituzionali”: parole nette, rassicuranti.",3
"Il ragazzo, incensurato, barista in un locale vicino al Tribunale dove lavorano i genitori, è stato arrestato dai carabinieri proprio davanti casa, non lontano dallo stadio",0
"Il riscaldamento globale è senz’altro all’origine della Dana, ed è previsto che fenomeni simili si abbatteranno con sempre maggiore intensità nel sud Europa",1.5
"Il rischio vero è infatti che le scuole migliori siano quelle a pagamento e che i genitori meno abbienti siano costretti a mandare i loro figli, pur bravissimi",1.5
Il salario minimo resta un miraggio per molti lavoratori.,2.5
Il sistema sanitario mostra segni di affaticamento dopo la pandemia.,1
"Il sospettato, con precedenti penali, era stato recentemente rilasciato per buona condotta.",0.5
"Il taglio dei tassi è stato salutato positivamente dai mercati, ma con cautela dagli analisti",1
"Il tasso di disoccupazione tra i giovani è in lieve calo, ma gli esperti avvertono che la precarietà rimane un ostacolo serio alla stabilità economica.",1
Il team di ricerca ha anche identificato circa 190 geni sensibili al suono,0
Il traffico ferroviario ha subito rallentamenti a causa del maltempo,0
"Il traffico in città è tornato ai livelli pre-pandemia, con effetti evidenti su qualità della vita e inquinamento",1.5
"Il turismo in Sicilia vola, anche grazie a investimenti mirati su qualità e sostenibilità.",2
In entrambi i casi il fallimento è causato da un approccio sbagliato basato sulle regole degli affari e non su quelle della diplomazia.,3
In Pakistan c’è un regime che unisce il peggio di due sistemi totalitari: islamismo e militarismo,4.5
"In passato, non a caso, il tentativo di aumentare la quantificazione della spesa con espedienti del genere è stato rispedito al mittente.",3
"In piazza poche decine di persone, ma i partiti hanno parlato di ""grande mobilitazione""",2.5
"In previsione della richiesta di rinvio a giudizio, che verosimilmente sarà formulata dall'accusa quando le indagini saranno concluse, l'avvocato Ballai sta valutando l'ipotesi di una perizia psichiatrica",1
"In questo modo, considerato il tempo necessario per emanare le leggi attuative, la riforma entrerebbe in vigore in tempo per la scadenza del Consiglio superiore della magistratura alla fine del 2026",1
"In questo scenario si inserisce Argo Cassiopea, il più importante progetto di sviluppo a gas sul territorio italiano, operato da Eni in joint venture con il partner Energean",0
"In un video gli ultimi istanti di Anna Chiti: ha tentato di salvarsi. Il genitore: ""Era lì per tradurre, non per fare manovre""",0
indagine sistematica sul fenomeno delle rapine e dei furti con strappo commessi da giovani stranieri negli ultimi mesi e ha svelato un importante attività di ricettazione.,2
"Intanto la famiglia della vittima, già provata da anni alla ricerca della verità sull’omicidio, si dice “ancora una volta basita per quanto sta accadendo.""",1.5
"Intanto, in occidente chi fa proteste pacifiche non violente per il clima e l’ambiente rischia sempre più concretamente e spesso il carcere.",3
Israele potrà bypassare la decisione come ha fatto con tutte le precedenti,3
"l ministro Crosetto ha parlato di “minaccia globale”, ma forse sarebbe più utile un’analisi meno allarmista e più strategica.",4
"l progetto, pur ambizioso, appare scollegato dalle reali esigenze del territorio",4
"l valore di questa soluzione è stato riconosciuto, ad ottobre scorso, con l’assegnazione dell’Eni Award al team di progetto, nella sezione “Riconoscimenti all’innovazione Eni”.",0
L’abuso di potere avrebbe portato all’impeachment di quel presidente.,2
L’aggressione avvenuta martedì pomeriggio in piazzale De Gasperi non è stato un episodio isolato.,0.5
"L'aggressione è avvenuta in una zona già nota per episodi simili, senza interventi risolutivi.",2.5
"L’analisi nei tempi lunghi di Ferguson sdrammatizza la presunta «unicità» di Trump, lo ridimensiona analizzandolo come una figura molto più banale e molto meno eversiva di come venga raccontato.",3
"L’annuncio della morte violenta del medico genovese, probabilmente, è l’ennesima goliardata di alcuni ambienti no-vax ormai nemici dichiarati di Bassetti",4
"L’artista estone poi organizza un’esibizione identica a quella che abbiamo già visto sulle reti italiane, così la puzza di già visto e già sentito si moltiplica.",5
L'artista romana ha raccontato la vicenda famigliare tra gli anni '60 e '70. Una storia che vede protagonista sua nonna e le sue relazioni prima della legge sul divorzio.,0
"L’attore, sempre più intento a fare il guru, dimentica di recitare.",4.5
L’attuale governo di un partito repubblicano convertito in culto personale del presidente non può essere considerato frutto di una normale alternanza politica.,5
"L’autore del gesto, già noto alle forze dell’ordine, è stato fermato dopo un breve inseguimento.",1
"L'azienda licenzia senza spiegazioni, e il governo resta a guardare.",4
"L’economia sociale è cresciuta, con progetti ad alto impatto locale.",1
"L’emisfero nord del mondo è ormai avviato su un pericoloso crinale, alimentato dall’«effetto Trump»",4
"L’ennesimo bando pubblico è stato vinto da una cooperativa legata a esponenti politici locali, sollevando dubbi sulla trasparenza dell’assegnazione.",2.5
L’ennesimo caso di mala gestione sanitaria dimostra quanto sia lontano un sistema realmente efficiente.,5
L'ennesimo caso di violenza riaccende il dibattito sulla sicurezza urbana,1.5
L’ennesimo stupratore straniero è stato rilasciato grazie a un sistema giudiziario buonista e fuori controllo,5
L’equilibrio tra sicurezza e libertà resta difficile da trovare.,1
L’eredità del colonialismo e dell’apartheid sono incise nelle dinamiche sociali della città nel modo in cui i suoi abitanti occupano lo spazio pubblico,4
L'esplosione avrebbe poi provocato il distacco di un pezzo di metallo che avrebbe colpito il trentanovenne.,1
"L’evento culturale, benedetto dagli addetti ai lavori, ha deluso le aspettative generali.",3
L'ex calciatore oggi procuratore beccato a farsi dare soldi per far giocare un giovane in una squadra primavera. E non è l'unico caso,1
L’export agroalimentare toscano ha toccato i 10 miliardi: dietro c’è passione e professionalità.,3
"L’harem del primario di Piacenza arrestato, una collega molestata: “Si sentiva intoccabile”",1
